plate,time
255801|E|13,2025-11-08 19:39:17
676572|D|50,2025-11-08 19:42:06
710017|B|29,2025-11-08 19:41:26
344011|B|22,2025-11-08 19:42:02
012804|D|44,2025-11-08 19:42:33
945739|B|46,2025-11-08 19:44:04
358562|A|4,2025-11-08 19:40:24
101533|B|35,2025-11-08 19:42:36
744785|G|13,2025-11-08 19:41:39
548602|B|20,2025-11-08 19:41:20
174871|E|40,2025-11-08 19:42:40
824454|E|15,2025-11-08 19:43:27
002142|F|44,2025-11-08 19:42:17
486794|D|37,2025-11-08 19:42:10
303060|B|45,2025-11-08 19:39:38
456776|E|32,2025-11-08 19:43:17
484050|F|16,2025-11-08 19:41:50
439480|D|10,2025-11-08 19:43:40
070103|B|36,2025-11-08 19:42:19
295496|B|11,2025-11-08 19:42:08
805510|D|32,2025-11-08 19:41:18
812559|G|44,2025-11-08 19:39:47
252614|B|42,2025-11-08 19:43:23
918704|D|31,2025-11-08 19:40:41
864847|F|4,2025-11-08 19:40:23
054299|B|15,2025-11-08 19:39:44
993170|G|33,2025-11-08 19:41:57
163457|D|34,2025-11-08 19:40:48
032278|G|17,2025-11-08 19:41:37
877348|A|16,2025-11-08 19:42:09
